Key,English,German,Russian,French,Spanish,Italian,Japanese,Korean,Chinese
ui.english.button,English,English,English,English,English,English,English,English,English
ui.russian.button,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
ui.french.button,Français,Français,Français,Français,Français,Français,Français,Français,Français
ui.german.button,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
ui.spanish.button,Español,Español,Español,Español,Español,Español,Español,Español,Español
ui.italian.button,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
ui.chinese.button,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文
ui.japanese.button,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
ui.korean.button,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
